a	un, uno, una[Article]
how, in what manner.	quemadmodum
how? /just as, lust like.	quemadmodum
however great.	quantuscumque, quantacumque, quantumcumque
however often.	quotienscumque
however, but.	tamen
howling.	ululatus
huge bulk, massive building, might.	moles
human being, man.	homo hominis
human race.	genus hominum
humble.	humilis
humbly, softly, calmly, modestly.	summisse
humility.	humilitas
hunger, emptiness /meagerness, poverty.	ieiunitas
hunger.	esuritio
hunter, huntsman.	venator
hunting, game, the chase.	venatio
hurricane. tornado, that which spins.	turbo
husband of a grand-daughter.	progener
husband.	maritus
hut, cottage, cabin.	casa
huy, belgium, between liege and namur.	Hoienses
hypocrite.	hypocrita
hypocrite.	simulator
I say.	inquam
I, self.	ego
ice.	glacies
icy coldness.	gelus
icy, frozen, full of ice.	glacialis
icy.	gelidus
ideal.	specimen
if ever.	quando, (interr.) when si quando
if not, unless, except.	nisi
If only that were true! Would that it were the case!.	utinam
if.	si
ignominy,.	pudor
ignorant, not knowing.	ignarus
ill, diseased, unwell.	aegrus
ill, sick.	aegrotus
illustrious, eminent, distinguished.	egregius
illustrious.	inclitus
image, likeness.	imago
imbibe, drink in /think up, conceive.	imbibo
imbued.	suffusus
imitable.	imitabilis
immediately.	illico
immoderate, excessive, beyond measure.	immodicus 
immortal.	immortalis
impenetrable.	impenetrabiilis
imper v., it is right, just.	licet
imper v., to assume it shall be, reasonable, necessary.	oportet
imperious, dominering, powerful.	imperiosus
impetuously.	vehementer
import.	affamen
impossible to catch, incomprehensible.	incomprehensibilis
impostor.	praestigiator
impregnable, unconquerable, not to be taken by force.	inexpugnabilis
imprisonment, bondage, captivity, servitude.	ligatio
imprisonment.	captio
improvident, negligent, thoughtless, feckless.	improvidus
impudent, shameless, insolent, presumptuous.	impudens
impudently, insolently, presumptuously.	impudenter
impurities.	faex
in a certain way, in a certain measure.	quodammodo
in a confused way, fumbling.	confusim
in a cruel manner.	crudeliter
in a hostile manner, belligerently.	infeste
in an unseemly manner.	turpiter
in another way, somehow else, in a different fashion.	aliusmodi
in any respect whatever.	ullatenus
in chains (slaves and prisoners).	ferratilis
in comparison with.	prae quam, pre quam
in different ways.	alius, aliter
in every way.	omnifariam
in fact, real, true.	vere
in fact, truly, indeed.	enim
in great profusion, profusely, abundantly.	abunde
in his own name.	verbis suis, meis, etc
in many ways, in various ways.	multipliciter
in many ways.	multifariam
in no wise.	nequaquam
in no wise.	nullatenus
in order that.	quatenus
in order to, for the sake of, to.	gratia
in reality.	revera
in reserve.	subsidarius
in rich abundance.	cumulatius
in single fortresses.	castellatim
in the common way, ordinary manner.	vulgariter
in the end.	iam tandem
in the highest.	in excelsis
in the least degree, very little/not at all, by no means.	minime
in the rear, fom behind.	tergo (a tergo )
in the same place, at the moment, in that matter.	ibidem
in time past.	pridem
in troops, in masses.	catervatim
in troops, or crowds.	gregatim
in truth, indeed, to be sure /however.	vero
in truth.	re vera
in turn, on the other hand.	vicissim
in vain, mistakenly, wantonly, without reason.	frustra
in vain.	casso
in vain.	incassum
in vilages, in a village manner, in a rusticway.	pagatim
in want of, in need of, destitute.	egenus
in what manner, how/ in whatever way, somehow.	quomodo
incentive.	stimulus
incessantly.	incessanter
incited.	instigatus
inciter.	aspirator
inclined to steal,.	furax
inclined, ready.	proclivus
inclining toward.	petitus
inconsiderate, without advice.	inconsultus
inconsistent, changeable, fickle, unreliable / faithless.	inconstans
inconsolable / uncurable.	inconsolabilis
inconstan.	devius
inconstantly, changeably, inconsistently.	inconstanter
incontinent.	incontinens
inconvenience, uncomfortable / disadvantage.	incommoditas
inconvenience, unseemly event.	inopportunitas
inconvenient, troublesome, irksome.	incommodus
inconveniently.	incommode
increase, enlarge, enrich.	augeo
increase, enlargement, growth.	autus
increase, growth.	augmentum
increasingly.	incrementabiliter
incredible, unbelievable.	incredibilis
incredulous.	incredulus
indeed, certainly, at least/ 	quidem
indeed.	enimvero
indefatigable.	impiger
indescribable, inexpressible.	indicibilis
indescribable.	inennarabilis
indestructible.	indissolubilis
indifferently.	indifferente
indigence, poverty, destitution.	indigentia
indigenous, born from the earth, human being.	terrigenus
indignant.	indignatus
indignation.	indignatio
indiscreetly.	inconsulte
indiscrimately.	promisce, promiscue
indiscriminately.	indifferenter
indisposition.	imbecillitas
indissoluble.	insolubilis
indulgence, forbearance, humanity, mercy, gentleness, etc.	clementia
indulgence, pliancy, submission.	obsequium
indulgent.	indulgens
industrious, diligent, assiduous, hard-working.	industrius
ineffectual, unproductive, profitless /weak.	inefficax
ineffectually, vainly, in vain,.	inefficaciter
inestimable.	inaestimabilis
inexpensive, cheap, economical.	insumptuosus
inexpressible.	inedicibilis
infamous.	flagitiosa
infancy, babyhood.	infantia
infection.	contagio
inferior, bad, wicked, persistent, perverse, bold.	improbus
infirm, decrepit.	decrepitus
infirmity.	infirmitas
inflation, flatulence.	inflatio
informant.	intentor
ingenious, adroit, skilled, ready, well-disposed.	solers
ingenuity.	sollertia
ingenuity.	versutia
inhabitants of a district, country-folk, peasants.	pagenses
inhabitants.	commorantes
inheritance, often simply "property.".	hereditas
inhospitable.	inhospitalis
inhospitable.	inhospitus
inhumanly.	inhumane
injury, damage, hurt /injustice, wrong.	iniuria
injustice, iniquity, unfairness.	iniquitas
innate character, talent, nature.	ingenium
inner feeling, secret heart.	sinus
innocent, without blame, guiltless.	inculpatus
innocent.	indemnis
innocent.	innocuus
innundation /scouring /discharge.	proluvier
inquire, interrogate, investigate.	percontor percunctor
insane, mad, out of one's mind, foolish.	demens, dementis 
insanity, irrationality, madness, folly.	insania
inscribe, entitle, enlist.	inscribo
inside the walls of the town.	per moenia urbis
insignia of office, headband, fillet.	infula
insignificant, very small.	pusillus
insolence, incivility.	importunitas
insolent.	contumax
insolently.	contumeliose
inspired, raging, furious.	furibundus
instantly, immediately.	statim
instructed.	aspersus
instruction, injunction, command, precept.	praeceptum, preceptum
instruction, teaching / knowledge, learning.	eruditio
instructor, teacher, schoolmaster.	magister
instrument, musical instrument.	organum
insult.	vituperium
integrity.	integritas
intelligence.	nous
intensely, very much, extremely, greatly.	valde
intensely.	valde
intention, declaration.	propositum
intention, plan, aim, design, purpose.	intentio
intentionally, on purpose, designedly.	consilio
intercession by saint with god, church province.	suffragium
intercessor, one who pleads on behalf.	deprecator
interchanged, mutually, reciprocal / reciprocity.	mutuus
internal, inner.	intestinus
interrogation, inquiry.	interrogatio
interval, space.	intercapedo
interval.	interpolatio
interval.	spatium
intimacy, nearness, closeness.	propinquitas
intricate, thorny.	scrupulosa
inundation.	eluvio
invader.	pervasor
invaluable.	inaestimandus
invective, scolding.	invectio
investigate, ask, inquire/ vote, ordain, resolve.	scisco
investigation, interrogation.	quaesitio, quesitio
investigation.	indagatio
invigorating.	vegetabilis
invocation, an invoking.	invocatio
inward, inner, internal, interior.	penitus
Irish.	Hirenses, Irenses
iron	ferrum, -i (n.) (as the metal)[Noun]
iron implement.	ferramentum
iron, sword.	ferrum
iron-clad.	ferratus
ironically, with a smile.	irrisorie
ironically.	ironice
irrational.	insensatus
irregularly, in a disorderly manner.	incomposite
irremediable.	desperata
irreproachable, chaste.	integer
island.	insula
it causes shame.	pudet
it is agreed, it is resolved, it seems good.	placet
it is certain.	constat
it is clear/ (adv.) clearly, plainly, namely.	videlicet
it is finished /right away, immediately.	ilicet
it is fitting, it is proper, reasonable, becoming.	oportet
it is needful, it behooves.	oportet
it is proper, one should, one ought.	oportet
it is raining, a shower is falling.	pluit, pluvit
it is right, it is fitting, it is lawful.	fas est 
it is seemly, comely, suitable, proper.	decet
it is worthwhile.	operae pretium est
javelin, spear, arrow, bolt, dart.	telum
jaw.	mala
jay, magpie.	pica
jealousy.	zelus
joke, jest, jape, gag.	iocus
joy, delight, happiness.	gaudium
joy, gladness, delight.	laetitia
joy, rejoicing.	tripudium
joyous, glad.	laetabilis letabilis
judge, juror.	iudex
judge.	censor
judgment, case/ plea, litigation / defense.	placitum
judgment, decision, opinion, trial.	iudicium
judgment.	arbitrium
judicial investigation.	quaestio
just as if.	proinde quasi, proinde ac si
just as many.	totidem
just as, in whatever manner/way.	qualiter
just as.	proinde ut, proinde quam
just short of.	iuxta
just so.	secus, non secus, haud secus
just, right, equitable, fair, lawful, proper.	iustus
justice, fairness, equity.	aequitas, equitas
justice, fairness, equity.	iustitia
justice, law, right /broth, soup.	ius iuris
jutting out, standing out /a projection.	prominens
keen scenter, sharp nosed.	odorus
keeness, edge, sharpness, battle-line, battlefield.	acies
keep back, hold back, reserve /keep, preserve.	reservo
keeper of a bathhouse.	balneator
keeper of a tomb.	tumbarius
kidnapper, plagiarist.	plagiarius
kill	neco, necare, necavi, necatum[Verb]
killed	necatus[Adjective]
kin.	parentela
kind, friendly, generous/ abundant, bounteous.	benignitas
kind, generous / nourishing.	almus
kind, generous, helpful.	benignus
kind, generous, obliging.	beneficus
kind, sort, class, category.	genus
kindly, generously.	benigne
kindness, benevolence, kindliness.	beneficentia
kindness, culture, refinement.	humanitas
kindred.	cognatio
king.	rex regis
kinsman.	propinquus
kneeling, entreating, suppliant.	supplex
knowing, acquainted with, expert.	gnarus
knowledge, science, skill.	scientia
knowledge.	gnaritas
knowledge.	scientia
knowledge. information, data, notes, annotations.	notitia
label, title, placard.	titulus
labor, work, toil.	labor laboris
laboriously, with great effort.	laboriose
lack of culture, state of being uncivilized and/or uncouth.	barbaria
lack of hospitality.	inhospitalitas
lack of restraint, incontinence.	incontinencia
lack, want, penury.	penuria, penurium 
lad.	pusio
lady, mistress.	domina, domna
laid up store, foundation, establishment, making.	condita
lame.	claudus
lamentable, deplorable, woeful.	lacrimabilis
lamentable, doleful.	flebilis
lamentable, mournful.	lamentabilis
lamentation, mourning, grief.	luctus
lamentation, mourning, weeping.	ploratio
lamp-stand.	candelabrum
lamp.	lucerna
lamp.	lucinaria
lances.	lancea
land, country, soil, ground/ bottom, floor, foundation.	solum
land, countryside, fields.	ager
language, tongue, speech.	lingua
Laon.	Laudunum
large crowd, audience, assembly.	celebratio
large stone.	saxum
large, great, important.	magnus maior maximus
large, spacious, ample /great important, honorable.	amplus
lashing.	verber
last will, testament / meaning, sense.	voluntas
lasting a long time, enduring, long-lived.	diutinus
lasting a long time, of long duration.	diuturnus
lasting for fifteen years.	trilustralis
lasting three days.	tricesimus, triduana
lasting three days.	triduana
laudation.	praeconium
laughter.	risus
lavish.	prodigus
law	lex,legis[Noun]
law, statute /covenant, agreement.	lex legis
law.	lex
lawful, licit, right, proper, legitimate.	legitiums
lawgiving.	legifer
lax, weak, wanting in energy, dissolute, profligate.	dissolutus
lay up, store, hoard.	recondo
lazy, listless, inert, sluggish cowardly, a coward.	ignavus
lazy, slow, dull.	piger pigra pigrum
lazy, unmotivated.	desidiosus
lead	ducere[Verb]
lead, a bullet, lead pipe.	plumbum
leaden, made of lead /dull, stupid, heavy, opressive, bad.	plumbeus
leader, guide, commander, general, duke.	dux ducis
leaf.	folium
leafy.	foliatus
lean, thin, skinny.	macilentus
least, smallest, slightest.	minimus
leather cuirass.	lorica
leather sandal worn by pyrenean peasants.	auarca
leave off, give over, cease, stop, end, desist.	desino
left behind.	relictus
left over, to spare, extra, superfluous.	susicivus
left-handedly, awkwardly.	laeve leve
leg, shank, shin, also foot.	crur, cruris
legal competence.	potestas
legal.	forensis, e
legatee.	legatarius
legi, lectum, to collect, gather together, assemble.	colligo
legion.	legio
length.	longitudo
lentil.	lens, lentis
leopard, panther.	panthera
let down, lowered, gentle, mild.	summissus (from summitto)
let slip.	amitto
lethargic, inactive /slow, lingering.	lentus
letter (of the alphabet).	littera
letter, document.	tabellae
letter, epistle, missive, message.	epistola
letter, epistle, missive, message.	epistula
lettuce.	lactuca
Leuze.	Lutosensis
level ground.	planum
level place, field, plain.	campus
level, even, calm, equal, favorable, just.	aequus, equus
lewd.	incestus
libation.	libatio
liberality.	probitas
license, leave, authorization /freedom, liberty / licentiousness.	licentia
Liege.	Leodie
Liege.	Leodium
Liessies.	Lesciense, monastery of
life, soul.	anima
life, way of life.	vita
lifeless.	exanimus
light	lux,lucis[Noun]
light, lamp, lantern /light of day.	lumen
light, lamp.	luminarium
light, slight, trivial /beardless, bald /light-armed.	levis
light-armed troops.	veles
light.	lux lucis
lightly, softly, slightly.	leviter
lightness, levity /fickleness, inconstancy /groundlesness.	levitas
like marble.	marmoreus
like, similar, resembling.	similis
likeness, face, visage.	visio
likeness, resemblance/ uniformity.	similitudo
likewise, equally, in like manner, as well.	pariter
Lille.	Insula
limbs.	artus
limpid, liquid.	liquidus
line, verse.	versus
linnen, napkin.	linteum
lion.	leo
lioness.	lea, leana
lip	labia labium 
lip, edge, rim /bathing tub.	labrum
lips	labiae
liquid.	latex
litany.	letanie
litter, bier.	lectica
little book.	libellus
little by little.	unciatim
little tents.	magalia
little, small, diminutive / a little, a bit.	aliquantulus
live-giving, life-restoring.	vivificus
lively, fresh, vigorous.	vegetus
lively.	vivax
living, manner of life / nourishment, food.	victus
lizard.	lacerta
Lo! Behold! See!.	ecce
load, burden, weight, trouble / charge, public road tax.	onus
loaded.	oneratus
loathing, fiercely hating, despising.	exosus
loathsome.	taeter
loftily.	sublimiter
loftiness, height, elevation, sublimity.	sublimitas
loftiness.	celsitudo
lofty, raised, elevated, sublime.	sublimis
log, stump, tree trunk, branch, post, club.	stipes
lonely, unfrequented places.	devia
long duration.	dirunitas
long duration.	diurnitas
long haired.	crinitus
long, stretching.	prolix
long.	longus
longed-for.	optatus
longer, too long (a period of time).	diutius
long-suffering.	patiens
lonliness, solitude, being alone.	solitas
look, aspect, appearance.	vulticulus
loosening /payment /solution /explanation.	solutio
lord, elder.	senior
lord, master.	dominus
lordship. dominion, domination.	dominatio, dominium
loss, damage, injury /a fine	damnum
loss, damage.	damnum
loss, destruction.	perditio
loss.	amissio, amissus
lot, allotment, share, fortune.	sors
loud or violent speech / declamatio.	declamatio
love	amare
love, affection, infatuation, passion.	amor
love, solicitude, esteem.	dilectio
loveliness, charm, attractiveness, beauty.	venustas
loveliness.	venustas
lovely, charming.	venustus
low down.	infra inferius infimus
Lower World.	Herebus
lowly, humble.	humilis
lucky, fortunate, happy.	felix felicis
lukewarm.	tepidus
lump, swelling /pellet, shot /mass of something.	offa
lurking-hole.	latibulum
lust-producing.	genialis
lute.	plectrum
luxurious, pleasure-seeking.	voluptuosus
luxuriously, delicately, slowly.	delicate
luxury, extravagance, opulence.	luxuria
lying on one's back.	resupinus
lying.	falsidicus
lyre, string.	fides
m, before mentioned.	praefatus-i
m, companion.	socius-i
m, cunning.	astus
m, founder.	fundator
m, model, example.	exempoator
m, motion (earth quake).	motus-us
Maastricht.	Traiectum
machete	gladium[Noun]
machine	machina[Noun]
mad.	furiosus
made of canvas.	carbaseus
made of copper or bronze, brazen.	aeneus, eneus
made of flesh.	carneus
made of iron /hard, unfeeliing, cruel, unbending.	ferreus
made of rushes.	iunceus
made public, publicized.	propalata
madness, fury, frenzy.	rabies
madness, rage, frenzy.	furor
madness.	furiae
magical.	magus
magistrate.	consul
magnates, great lords, the best people, the upper class.	optimates
magnificence, splendor, eminence, magnanimity.	magnificentia
maiden, virgin, young girl.	virgo
maiden.	virgo
maidservant, also used by nuns to decribe themselves.	ancilla
maim, mutilate, mangle /imperfect, not whole, missing a part.	trunco
main, open sea.	pelagus
Mainz.	Moguntium
majesty, dignity, greatness.	maiestas
make evident.	palificare
make note, mark down.	noto-are
maker.	plasmator
malevolent, spiteful person.	malevolens
malevolent.	novercalis
Malmedy.	Malmundarium
man, hero, man of courage.	vir
manage, administer /provide money.	curo
management, administration, care, concern, charge.	cura
management, administration, diretion, supervision.	procuratio
management, direction.	moderamen
manager, bailiff, agent.	procurator
manfully.	viriliter
mangled.	lacer
manhood.	pubertas
manifold, many-fold, many times / tortuous.	multiplex
manifold.	multimodus
maniple.	manipulus
manliness, excellence, character, worth, courage.	virtus
manliness, virtues.	vitualis
manners habit, customs.	mos
manorial agent, steward, bailiff, prior.	praepositus
manorial task of cultivating, digging, ditching, etc.	cavare
mantle.	amictus
manufacture /craft, trade, art /trick, device.	fabrica
many, numerous /the common herd.	multi
Marchiennes,.	Marceniense
Marchiennes.	Marcieniensis
marigold.	caltha
mark, token, note, sign.	nota
market place, town square.	forum
market.	venalicium
marl [an earth rich in CaC, added to lime-deficient soils].	mara
marriage.	matrimonium
marsh, reed.	palus, paludis
marshy, swampy, boggy.	paluster
martial, military, war-like.	bellicus
martyr.	martyr-yris
martyr.	testis
massacre, bloodbath, carnage /debris.	strages
master	magister, -tri (m.); magistra, -ae (f.)[Noun]
master, canon / master of a school, professor.	magister
master, lord.	dominus domno
master, owner, lord.	erus
masters	magistri, -orum (m.); magistrae, -arum (f.)[Noun]
mastery.	dominatus
material, substance, matter.	materia
maternal aunt.	matertera
maternal first cousin.	consobrinus
maternal uncle.	avunculus
matured / great / high / deep / noble / ancient, old / secret.	altus
Maubeuge.	Malbodiensis
Mayor of the Palace, chief steward.	major domus
meadow, hay-field.	pratum
meadow.	pratus
meal or flour.	farina
mean, cheap.	vilis
meaning, understanding.	intellectus
measure, bound, limit /manner, method, mode, way.	modus
measures, capacity.	concepta
mediation.	interventus
mediator.	conciliator
meditate	cogitare[Verb]
meditate	commentari[Verb]
meditate	meditari[Verb]
meditates	cogitat[Verb]
meditation	cogitatio[Noun]
meditation	commentatio[Noun]
meditation	meditatio[Noun]
meditative	in cognitatione defixus[Adjective]
meditative, speculative, contemplative.	theoricus
medlar	mespilum[Noun]
medlar	mespilus[Noun]
medley	conluvies[Noun]
medley	conluvio[Noun]
medley	farrago[Noun]
meek	demissus[Adjective]
meek	modestus[Adjective]
meek	verecundus[Adjective]
meekly	modeste[Adverb]
meekly	verecunde[Adverb]
meekness	animus demissus[Noun]
meekness	modestia[Noun]
meekness	verecundia[Noun]
meet.	opportunus
meeting	concursus[Noun]
meeting	congressio[Noun]
meeting	conventus[Noun]
melted away/ melting away.	tabidus
memorial or token of remembrance, remembrance.	monumentum
memory, remembrance, recall, recollection.	memoria
mentioned.	memoratus
mercenary service / highway robbery.	latrocinium
mercifully.	misericordaliter
merit, worth, prestige, dignity.	dignitas
message, command.	mandatum
messenger, message.	nuntius
messenger.	gerulus
Metz.	Metim
midday, afternoon, south.	meridianus
middle, the middle of, central, midst.	medius
mien, splendor, quality.	species
might, power, authority.	potentia
mighty, able, mighty, powerful, strong.	potens
mighty, powerful, exceeding.	validus
mild, gentle /ripe, mature.	mitis
mild, soft, gentle.	mansuetus
mildness.	lenitas
mildness.	mansuetudo
military operation, military force, expedition.	expeditione
milk.	lac lactis
milky, of milk, milk-white.	lacteus
mind, thought, intention, intellect.	mens mentis
mindful, remembering, grateful, thoughful, prudent.	memor
miner.	minutor
mingling, mixture /confounding, confusion, disorder.	confusio
miraculously.	miraculose
mirror.	speculum
miry.	lutosus
miscarriage.	abortio
miserable, pathetic, wretched,.	misellus
miserably, wretchedly, cruelly.	misericorditer
misfortune, bad luck /punishment.	infortunium
misfortune?.	mestitia
missing letters, words, or phrases in a manuscript.	lacuna
mistress, lady.	era
misty, foggy.	nebulosus
mixed fodder for cattle, mash /mishmash, medley, mixture.	farrago
mixed, indiscriminate /commonplace, usual.	promiscus promiscuus
Mnster.	Monasteriense
mob.	turba
mockery.	subsannatio
mocking grimace, mockery.	sanna
model, pattern, original, prototype, book to copy.	exemplar
moderate, within bounds, limited, undistinguished.	modica
moderate.	modestus
moderately, economically.	parce
moderately.	medie
moderation, self-control, temprance.	temperantia
moderation.	modestia
modest. chaste.	pudicus
modesty, bashfulness.	pudor
moist.	fluidus
moisture.	ros
monarchy.	monarchia
monastery, abbey, convent.	monasterium
monastic profession of vows/ oath of canonical obedience.	professio
monastic rule.	professio
monastic, liturgical.	monachicus
money.	pecunia
monk.	monachus
Mons.	Montensem
monster	belua[Noun]
monstrous.	immanis
month.	mensis mensis
moon	luna[Noun]
moon.	luna
moons	lunae[Noun]
moral purity.	sanctimonia
more numerous, several, many.	plura
more numerous, several, many.	plures
more shortly.	correptius
more true.	ueratius
more veracious, more truly.	ueraciter
more, to a greater extent, rather, for preference.	magis
more.	plus
moreover, henceforth, indeed, just, further.	iam
moris/ will, inclination/ custom, wont, usage, rule.	mos
morning, early in the morning, early.	mane
mortal, deadly, fatal.	letalis
mortal.	moratlis
mortally, fatally.	letaliter
most luxuriantly, most abundantly, most fruitfully.	uberrime
most, very many.	plurimus
mother.	genetrix
mother.	mater matris
motherland	patria[Noun]
mound, grave, heap of earth.	tumulus
mountain	mons,montis[Noun]
mountain ash.	ornus
mountain, mount.	mons, montis
mountainous.	iugosus
mourn.	lugo
mournful.	lugubris
mourning, grief, sorrow.	maeror meror
mouse	mus[Noun]
mouse.	mus, muris
mouth	os[Noun]
mouth, opening, source / a mask.	os, oris
moving through.	actus
much spoken of, renowned /notorious, infamous /libellous.	famosus
much, a lot.	multus plus plurimum
much, great.	multus
much, greatly.	multum
mud.	limus
multicolored	versicolor, -oris (abl.: -ore, -ori)[Adjective]
multiplication by two, ambiguity, duplicity.	duplicitas
multiplied.	multiplicatus
munificent, generous.	munificus
murderer.	occisor
muscular, powerful.	lacertosus
my, mine /MY heart belongs to daddy. that old gang of MINE.	mei
my.	meus
n, foolish, insane.	inasnum
n, heretical.	haereticum
n, martyrdom.	martyrium
n, messenger.	nuntium-i
n, ridiculous.	ridiculum
name.	nomen
namely, that is to say.	scilicet
Namur.	Namucense
narrow, contracted, small.	substrictus
narrow, limited, strait, tight, constricted.	angustus
nation, "people".	gens
nation, people.	natio
nation, race, people, breed /pagan people.	natio nationis
nature of being.	esse
nature.	natura
navigation.	navigium
nay, should I say, on the contrary.	immo
near, close, similar, nearly related.	propinquus
near, near to, not far, not long from now.	prope
near, nearly, not far from, just now, closely.	prope
nearest, closest, next.	proximus
nearly, almost.	paene, pene
necessary, needed, essential, necessary.	necessarius
neck, boldness.	cervix
neck, throat, gullet.	gutter
neck.	collum
need, exigency, unavoidability.	necessitas
needful, things needed.	necessarius
negative, containing a no, rejection.	infitialis
neglect, careless, negligent.	incuriosus
neglect, lack of cultivation.	incultus
neglect, passing over, omission.	praetermissio, pretermissio
neglected, dilapidated.	sentus
negligently, carelessly.	incuriose
neighbor.	vicina
neighbor/ (med.) resident.	vicinus
neighborhood, limit.	confinio
neighboring, adjacent, related to, similar.	finitimus finitumus
neither .. nor.	neque .. neque
neither good nor bad.	indifferens
neither nor.	nec .. nec
nest for young birds.	cunae
never-ending.	perpes
never.	nunquam
nevertheless, and yet (beginning a sentence)/ though.	quamquam
nevertheless, notwithstanding.	nihilominus nichilominus
nevertheless.	nichilominus
nevertheless.	nihilominus
new	novus, -a, -um[Adjective]
new recruit, young recruit.	tiro
new, fresh, young, inexperienced, revived, refreshed.	novus
newly, recently, not long ago.	nuper
newness, novelty, strangeness.	novitas
next, then, thereafter, from that place.	deinde
night.	nox noctis
nimble.	praepes
nine.	novem
ninth.	nonus
Nivelles, city and monastery.	Nivellensem
no one, nobody.	nemo
no, not at all, by no means.	haud
no, rather.	quinymo quinimmo
nobly.	generose
noise, sound.	sonitus
noising, talkative.	garrulus
nominally, in name.	nomine tenus
noose, halter, snare, trap.	laqueum
nor	nec[Conjunction]
nor	nec... nec... "neither... nor..."[Conjunction]
Normans.	Northmanni
north wind.	aquilo
northeast by north wind.	superna
nostril.	michina
not .. even.	ne .. quidem
not .. even.	ne .. quidem
not agreeing, inconsistent, out of place.	incongruens
not any, no, none.	nullus
not only .. but also.	non solum .. sed etiam
not only .. but also.	solum, non solum .. sed etiam
not owed, not due.	indebitus
not sacred, uninitiated, ordinary, common, impious.	profanus
not strong, weak, feeble /(sometimes) sick, ill.	infirmus
not suiting / dissimilar.	inconveniens
not to be able, to be impossible.	nequeo
not to be able.	nequeo
not to exist.	nusquam esse
not yet.	nondum
not.	non
not? not unless?.	nonnisi
nothing	nihil (indecl.)[Noun]
nothing as yet.	nihildom
nothing.	nihilum
nothingness, worthlessness, vanity.	irritum
nothwithstanding, nevertheless, yet, still, for all that.	tamen
notwithstanding, nevertheless.	verumtamen verumptamen
nourish, cherish, support, sustain, maintain, keep.	alo
nourishment, essentials, provisions, food.	alimonium
nourishment.	alimonia
nourishment.	fomentum
nourishment.	nutrimentus
novel, unusual, extraordinary /news, novelty, a new thing.	novus
now for a long time.	iam pridem
now for a long time.	iamdiu
now for a long time.	iamdudum
now, at the present time, soon, at this time.	nunc
now, by now, already/ presently, immediately, soon.	iam
now, just now, only.	modo
nowhere, in no place, nothing, for nothing, never.	nusquam
nowhere, on no occasion / nusquam esse -- not exist.	nusquam
noxious.	noxialis
nun, sister.	sanctimonialis
nurseling, student, disciple.	alumno
nursery, nursery garden/ sole of the foot.	plantarium
nursling.	alumnus
oak tree.	quercus
oaken.	quernus
oar, rowing.	remigium
oath, act of oath-taking.	juramentum
oath, sacraments, sacred rites.	sacramentum
oath.	ius iurandum iuris iurandi etc.
obedience, indulgence.	obsequium
obediently.	obedienter
obeisance, attention, obedience, allegiance, vassalage,.	famulatus
objection.	contradictio
oblong shield.	scutum
observation.	speculatio
obstacle.	obstaculum
occurrence, deed, condition, case.	res
-ocis fast, rapid, swift, fleet.	celox
of a father, paternal, native.	paterna
of a father, paternal, native.	paternus
of a former time.	veter
of a king, royal, regal.	regalis
of a soldier, military, martial.	militaris -e
of all kinds.	omnigenus
of any kind whatever, any whatever.	qualiscumque
of course, undoubtedly, certainly (sometimes ironical).	nimirum
of crystal.	crystallinus
of great promise.	bonae indolis
of immoderate size, vast, huge, monstrous, remarkable.	ingens
of iron /a blacksmith /iron mines.	ferrarius
of noble birth, aristocratic, well-bred.	generosus
of one mind.	unanimis
of one's own accord.	ultroneus
of rain.	imbrium
of such a kind, such.	talis
of the morrow, the morrow.	crastinus
of the people, public, open to all.	publicus
of the stomach.	cardiacus
of today.	hodiernus
of what kind.	cuiusmodi
of what kind? of the kind that.	qualis
of what sort you will.	qualislibet
offence.	commissum
offense, crime.	noxa
offense.	offensus
offensive, filthy.	obscoena
offering.	holocaustum
offering.	pollicitas
office of legate / office of ambassador, embassy commander.	legatio
office, obligation, duty.	officium
official dignity or office, ornaments, esteem.	honor
offshoot, germ.	germen
offspring, descendants, posterity, (plants, fruit).	proles
offspring, offshoot.	suboles
offspring.	progagus
often, frequently, repeatedly.	saepe, sepe
often, frequently, repeatedly.	saepius sepius
often, frequently.	pluries
often.	quotiens
oh woe unutterable!.	infandum
oily, slippery, slick.	lubricus
old age, dotage.	senectus
old age, dotage/ decay, decline, deterioration.	senium
old, aged, old man.	senex, senis
old, aged.	grandaevus
old.	vetus
on condition that, with the understanding that.	per sic quod
on every side.	hinc hinc
on good authority.	comperte
on high, aloft.	sublime
on one's guard.	praecautus
on that account, for that reason, for that purpose.	idcirco
on the contrary, by no means/ by all means.	ymo (immo)
on the lower side, below.	inferne
on the other hand, in return, back, again.	rursus
on the spot, immediately.	ilico
on the spot, in that very place /immediately.	ilico, illico
on the way, in the way / (in dat.) open, accessible.	obvius
on the way, in the way /(+ dat.) towards, against.	obviam
once and a half.	sesquialter
once, at a future time.	olim
one after the other, by turns, mutually, each other.	invicem
one and a half times.	sesqui
one and a half.	emiolios
one and a third.	sesquitertia
one brought back from imprisonment.	redux
one each, one apiece, single, separate.	singuli
one enthroned on high, seated in heaven.	altithronus
one hundred, 100 (undeclinable).	centum
one of the best, aristocrat, noble.	optimus
one prematurely born.	abortivus
one who carves food.	carptor
one who fattens fowls.	fartor
one who fight from a chariot.	essedarius
one who gives evidence, witness, spectator / testicle.	testis
one who is on his guard/ one who goes bond, suretor.	cautor
one who kisses.	basiator
one who lies in wait.	insidiator
one who provides for, or against.	provisor
one who punishes, reproves, corrects.	castigator
one, only one, at the same time/ single, alone /unparalleled.	unus
one's own master.	sui juris
one's own, permanent, special, peculiar.	proprius
